/* DATA DESCRIPTION:
Citation:	Barron, John A; Heusser, Linda E; Herbert, Timothy D; Lyle, Mitchell W (2003): (Table S2) Alkenone unsaturation index and SST reconstruction for ODP Hole 167-1019C [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.841946, 
	In supplement to: Barron, JA et al. (2003): High resolution climatic evolution of coastal Northern California during the past 16,000 Years. Paleoceanography, 18(1), 1020, https://doi.org/10.1029/2002PA000768
Other version:	Barron, John A; Heusser, Linda E; Herbert, Timothy D; Lyle, Mitchell W (2003): NOAA/WDS Paleoclimatology - Barron et al. 2003 N. Coastal California High Res. Holocene/Pleistocene Oceanographic Data. NOAA National Centers for Environmental Information, https://doi.org/10.25921/6TKP-TD25
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: 41.682900 * LONGITUDE: -124.932000
	DATE/TIME START: 1996-06-05T05:00:00 * DATE/TIME END: 1996-06-06T18:45:00
	MINIMUM DEPTH, sediment/rock: 0.06 m * MAXIMUM DEPTH, sediment/rock: 7.45 m
Event(s):	167-1019C * LATITUDE: 41.682900 * LONGITUDE: -124.932000 * DATE/TIME START: 1996-06-05T05:00:00 * DATE/TIME END: 1996-06-06T18:45:00 * ELEVATION: -946.9 m * Penetration: 247.8 m * Recovery: 213.97 m * LOCATION: North Pacific Ocean * CAMPAIGN: Leg167 (URI: https://doi.org/10.2973/odp.proc.ir.167.1997) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 26 cores; 247.8 m cored; 0 m drilled; 86.3 % recovery
Comment:	Sediment depth is given in mcd.
Parameter(s):	Sample code/label (Sample label) * PI: Barron, John A (https://orcid.org/0000-0002-9309-1145, jbarron@usgs.gov)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Sea surface temperature, annual mean [°C] (SST (1-12)) * PI: Barron, John A (https://orcid.org/0000-0002-9309-1145, jbarron@usgs.gov) * METHOD/DEVICE: SST, from UK'37
	Alkenone, C37 [nmol/g] (K37) * PI: Barron, John A (https://orcid.org/0000-0002-9309-1145, jbarron@usgs.gov)
Change history:	2023-07-26T07:49:13 - Parameter correction: "Alkenone, unsaturation index UK'37" changed to "Alkenone, C37"
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	384 data points
*/
Sample label	Depth sed [m]	Age [ka BP]	SST (1-12) [°C]	K37 [nmol/g]
167-1019C-1H-1,5-7	0.06	0.16	11.7	2.93
167-1019C-1H-1,5-7	0.06	0.16	11.6	2.76
167-1019C-1H-1,10-12	0.11	0.29	11.5	2.66
167-1019C-1H-1,10-12	0.11	0.29	11.4	2.61
167-1019C-1H-1,20-22	0.21	0.55	11.3	2.38
167-1019C-1H-1,25-27	0.26	0.68	11.4	2.70
167-1019C-1H-1,30-32	0.31	0.82	11.6	2.34
167-1019C-1H-1,35-37	0.36	0.95	11.3	2.40
167-1019C-1H-1,45-7	0.46	1.21	11.5	2.21
167-1019C-1H-1,50-52	0.51	1.34	11.5	2.28
167-1019C-1H-1,55-57	0.56	1.47	11.7	2.07
167-1019C-1H-1,60-62	0.61	1.61	11.6	2.14
167-1019C-1H-1,70-72	0.71	1.87	11.5	2.11
167-1019C-1H-1,70-72	0.71	1.87	11.4	2.09
167-1019C-1H-1,75-77	0.76	2.00	11.3	2.61
167-1019C-1H-1,75-77	0.76	2.00	11.2	2.63
167-1019C-1H-1,80-82	0.81	2.13	10.9	2.34
167-1019C-1H-1,85-87	0.86	2.26	11.5	2.34
167-1019C-1H-1,95-97	0.96	2.53	11.8	2.28
167-1019C-1H-1,100-102	1.01	2.66	11.9	2.10
167-1019C-1H-1,105-107	1.06	2.79	12.1	2.15
167-1019C-1H-1,110-112	1.11	2.92	11.6	1.92
167-1019C-1H-1,120-122	1.21	3.18	12.2	1.66
167-1019C-1H-1,125-127	1.26	3.32	11.3	1.99
167-1019C-1H-1,130-132	1.31	3.45	10.5	1.80
167-1019C-1H-1,135-137	1.36	3.58	10.8	1.93
167-1019C-1H-1,135-137	1.36	3.58	10.8	1.85
167-1019C-1H-1,135-137	1.36	3.58	10.8	1.95
167-1019C-1H-1,145-147	1.46	3.84	11.0	1.67
167-1019C-1H-2,0-1	1.51	3.97	10.7	2.17
167-1019C-1H-2,5-7	1.56	4.11	11.0	1.55
167-1019C-1H-2,10-12	1.61	4.24	10.6	1.89
167-1019C-1H-2,20-21	1.71	4.50	11.2	1.28
167-1019C-1H-2,25-26	1.76	4.63	10.4	1.74
167-1019C-1H-2,30-31	1.81	4.76	10.6	1.54
167-1019C-1H-2,35-36	1.86	4.89	10.4	1.55
167-1019C-1H-2,46-47	1.97	5.18	10.5	1.49
167-1019C-1H-2,50-51	2.01	5.29	10.5	1.53
167-1019C-1H-2,55-56	2.06	5.42	10.6	1.61
167-1019C-1H-2,60-61	2.11	5.52	10.6	1.55
167-1019C-1H-2,60-61	2.11	5.52	10.8	1.49
167-1019C-1H-2,70-71	2.21	5.73	10.8	1.73
167-1019C-1H-2,75-76	2.26	5.83	10.7	1.59
167-1019C-1H-2,80-81	2.31	5.94	10.8	1.43
167-1019C-1H-2,85-86	2.36	6.05	10.8	1.28
167-1019C-1H-2,95-96	2.46	6.26	10.4	1.28
167-1019C-1H-2,100-101	2.51	6.37	10.2	1.56
