/* DATA DESCRIPTION:
Citation:	Leduc, Guillaume; Schneider, Ralph R; Kim, Jung-Hyun; Lohmann, Gerrit (2010): Sea surface temperature reconstruction from sediment core D13882 using alkenones [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.737208, 
	In supplement to: Leduc, G et al. (2010): Holocene and Eemian Sea surface temperature trends as revealed by alkenone and Mg/Ca paleothermometry. Quaternary Science Reviews, 29(7-8), 989-1004, https://doi.org/10.1016/j.quascirev.2010.01.004
Coverage:	LATITUDE: 38.634500 * LONGITUDE: -9.454200
	DATE/TIME START: 2000-09-01T00:00:00 * DATE/TIME END: 2000-09-01T00:00:00
	MINIMUM ELEVATION: -88.0 m * MAXIMUM ELEVATION: -88.0 m
Event(s):	D13882 * LATITUDE: 38.634500 * LONGITUDE: -9.454200 * DATE/TIME: 2000-09-01T00:00:00 * ELEVATION: -88.0 m * Recovery: 13.61 m * LOCATION: Portuguese Margin * CAMPAIGN: D249 * BASIS: Discovery (1962) (URI: https://en.wikipedia.org/wiki/RRS_Discovery_(1962)) * METHOD/DEVICE: Gravity corer (GC)
Parameter(s):	AGE [ka BP] (Age) * GEOCODE
	Sea surface temperature [°C] (SST) * PI: References, proxy alkenones (hdl:10013/epic.35232.d001) * METHOD/DEVICE: SST calculated from alkenones
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	142 data points
*/
Age [ka BP]	SST [°C]
0.442	14.6
0.464	15.3
0.485	15.6
0.507	15.7
0.529	15.7
0.550	16.1
0.572	16.0
0.593	16.0
0.615	15.8
0.637	16.0
0.658	16.1
0.680	16.2
0.702	16.1
0.723	16.3
0.767	16.2
0.788	16.2
0.810	16.4
0.832	16.6
0.853	16.3
0.875	16.4
0.896	16.4
0.918	16.6
0.940	16.6
0.961	16.6
0.983	16.6
1.005	17.0
1.026	16.9
1.048	17.0
1.070	17.1
1.091	16.8
1.113	16.8
1.134	16.6
1.156	16.9
1.178	16.5
1.243	16.4
1.264	16.8
1.286	16.9
1.308	16.8
1.329	16.8
1.351	16.5
1.373	16.5
1.394	16.4
1.416	16.4
1.437	16.6
1.459	16.9
1.481	16.9
1.502	16.8
1.528	16.9
1.557	17.0
1.586	16.9
1.615	17.0
1.644	16.8
1.673	17.2
1.702	16.7
1.731	17.1
1.760	17.1
1.789	16.9
1.818	16.5
1.847	16.6
1.876	16.8
1.905	16.9
1.934	16.8
1.963	16.8
1.992	16.5
2.021	17.0
2.050	17.3
2.079	17.2
2.108	16.6
2.137	17.0
2.166	17.1
2.194	17.1
2.223	17.5
2.252	17.6
2.281	18.2
2.310	17.2
2.339	16.8
2.368	17.0
2.397	17.1
2.426	17.3
2.455	17.0
2.513	17.5
2.542	17.2
2.571	17.6
2.600	17.4
2.629	17.6
2.658	17.1
2.687	17.6
2.725	17.2
2.802	17.6
2.878	17.4
2.954	17.9
3.031	17.5
3.107	18.2
3.184	17.4
3.260	17.6
3.336	17.4
3.413	18.1
3.489	18.1
3.565	18.2
3.676	17.7
3.810	18.5
3.944	18.0
4.078	17.8
4.212	18.1
4.346	17.8
4.480	18.2
4.614	18.6
4.748	18.1
4.882	17.9
5.015	18.3
5.149	18.0
5.283	18.0
5.417	17.6
5.551	18.0
5.685	18.6
5.819	18.3
5.953	18.4
6.087	18.3
6.221	18.3
6.355	18.8
6.488	18.4
6.641	19.0
6.806	19.5
6.971	17.9
7.136	18.6
7.301	18.4
7.466	18.6
7.631	19.0
7.796	18.7
7.961	18.6
8.126	18.2
8.291	18.2
8.456	18.4
8.621	18.7
8.801	19.4
9.039	18.8
9.278	19.3
9.516	19.0
9.755	19.3
9.994	19.3
10.232	19.1
10.471	18.8
