/* DATA DESCRIPTION:
Citation:	Leduc, Guillaume; Schneider, Ralph R; Kim, Jung-Hyun; Lohmann, Gerrit (2010): Sea surface temperature reconstruction from sediment core MD03-2707 using Mg/Ca-ratios [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.736995, 
	In supplement to: Leduc, G et al. (2010): Holocene and Eemian Sea surface temperature trends as revealed by alkenone and Mg/Ca paleothermometry. Quaternary Science Reviews, 29(7-8), 989-1004, https://doi.org/10.1016/j.quascirev.2010.01.004
Coverage:	LATITUDE: 2.502000 * LONGITUDE: 9.395000
	MINIMUM ELEVATION: -1295.0 m * MAXIMUM ELEVATION: -1295.0 m
Event(s):	MD03-2707 * LATITUDE: 2.502000 * LONGITUDE: 9.395000 * ELEVATION: -1295.0 m * METHOD/DEVICE: Piston corer (PC)
Parameter(s):	AGE [ka BP] (Age) * GEOCODE
	Sea surface temperature [°C] (SST) * PI: References, proxy Mg/Ca (hdl:10013/epic.35231.d001) * METHOD/DEVICE: SST from Mg/Ca ratios
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	252 data points
*/
Age [ka BP]	SST [°C]
0.362	25.26
0.398	25.56
0.434	26.02
0.470	26.03
0.505	24.79
0.541	25.08
0.576	25.31
0.612	25.63
0.647	25.95
0.682	25.36
0.718	25.23
0.753	25.63
0.788	24.57
0.823	26.07
0.857	25.76
0.892	25.47
0.927	26.06
0.962	25.57
0.996	25.49
1.031	25.80
1.065	25.60
1.100	25.31
1.134	26.04
1.168	25.31
1.203	25.89
1.237	25.85
1.271	26.22
1.305	25.30
1.339	25.54
1.373	25.85
1.407	26.33
1.441	26.62
1.475	26.19
1.508	26.43
1.542	27.20
1.576	25.27
1.610	26.82
1.643	26.62
1.677	26.41
1.744	26.02
1.777	25.91
1.811	26.15
1.844	26.16
1.877	26.71
1.911	26.24
1.944	25.79
1.977	26.03
2.011	26.34
2.044	26.90
2.077	27.03
2.110	26.67
2.143	26.58
2.177	27.52
2.210	26.71
2.243	26.45
2.276	26.78
2.309	26.20
2.342	26.99
2.375	25.12
2.408	25.67
2.441	26.29
2.474	26.13
2.507	25.57
2.540	26.36
2.573	26.30
2.606	26.07
2.640	27.70
2.673	27.63
2.706	25.38
2.739	25.86
2.772	24.77
2.805	26.49
2.838	26.41
2.871	26.43
2.904	27.82
2.937	26.62
2.970	26.46
3.003	25.67
3.036	26.45
3.070	26.42
3.103	25.77
3.136	25.99
3.169	26.24
3.202	26.58
3.236	26.47
3.269	25.94
3.302	26.58
3.336	26.35
3.369	25.85
3.402	26.18
3.436	26.01
3.469	26.13
3.503	26.54
3.537	26.83
3.570	27.33
3.604	27.47
3.637	26.80
3.671	26.38
3.705	26.96
3.739	25.68
3.773	25.79
3.806	26.76
3.840	26.81
3.871	24.96
3.908	25.95
3.943	24.55
3.977	27.03
4.011	26.42
4.045	26.18
4.080	26.31
4.114	27.18
4.148	27.38
4.183	27.40
4.217	26.50
4.252	26.51
4.287	26.96
4.322	26.28
4.356	27.99
4.391	25.28
4.426	26.90
4.461	26.48
4.497	26.88
4.532	26.85
4.567	27.43
4.602	26.07
4.638	26.36
4.673	26.64
4.709	26.08
4.745	26.06
4.781	26.11
4.816	26.82
4.852	26.62
4.888	26.22
4.925	25.99
4.961	27.58
4.997	26.91
5.034	25.69
5.070	27.91
5.107	27.65
5.144	27.18
5.180	27.01
5.217	27.69
5.291	27.15
5.329	26.91
5.366	26.95
5.403	26.64
5.441	27.08
5.479	26.89
5.517	26.79
5.554	26.40
5.592	26.92
5.631	26.97
5.669	26.89
5.707	26.94
5.746	26.77
5.784	27.28
5.823	27.98
5.862	25.99
5.901	26.82
5.940	26.90
5.979	26.56
6.019	26.51
6.098	27.25
6.138	26.94
6.178	27.08
6.218	26.87
6.258	27.26
6.298	26.55
6.339	27.40
6.379	26.61
6.420	27.00
6.461	26.07
6.502	27.38
6.543	27.17
6.585	27.27
6.626	27.15
6.668	27.58
6.710	27.41
6.752	26.93
6.794	27.94
6.836	26.94
6.878	26.06
6.921	26.68
6.964	26.57
7.007	25.94
7.050	27.28
7.093	27.04
7.136	26.82
7.180	27.88
7.224	27.35
7.268	26.87
7.312	27.06
7.356	27.13
7.490	26.10
7.535	27.08
7.580	26.83
7.625	26.42
7.671	26.78
7.717	27.04
7.763	26.60
7.809	26.83
7.855	26.78
7.901	27.17
7.948	27.27
7.995	27.24
8.042	27.11
8.089	27.52
8.137	26.62
8.184	26.57
8.232	25.31
8.280	25.97
8.329	27.08
8.377	27.04
8.426	28.02
8.475	27.85
8.524	26.88
8.573	28.13
8.622	28.14
8.672	28.11
8.722	27.68
8.772	27.97
8.822	26.69
8.873	28.80
8.924	26.82
8.975	27.77
9.026	27.92
9.077	26.24
9.129	26.74
9.233	27.41
9.285	26.79
9.338	26.67
9.391	27.00
9.444	27.57
9.497	27.28
9.551	27.70
9.604	26.61
9.658	26.78
9.713	27.66
9.767	28.23
9.822	26.67
9.877	26.63
9.932	26.80
9.987	27.45
10.043	26.12
10.099	26.58
10.155	28.39
10.212	26.75
10.268	26.94
10.325	26.78
10.383	26.80
10.440	26.50
10.498	27.34
