/* DATA DESCRIPTION:
Citation:	Haddam, Naoufel; Siani, Giuseppe; Michel, Elisabeth; Kaiser, Jérôme; Lamy, Frank; Duchamp-Alphonse, Stéphanie; Hefter, Jens; Braconnot, Pascale; Dewilde, Fabien; Isguder, Gulay; Tisnérat-Laborde, Nadine; Thil, François; Durand, Nicolas; Kissel, Catherine (2020): SST reconstruction of sediment core MD07-3088 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.918121, 
	In: Haddam, N et al. (2020): Sea surface temperatures and planktonic foraminifera d18O from the chilean margin [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.918122
Keyword(s):	chilean margin; planktonic foraminifera d18O; Sea surface temperatures during the last 22 kyrs
Coverage:	LATITUDE: -46.071667 * LONGITUDE: -75.687167
	DATE/TIME START: 2007-02-11T18:32:00 * DATE/TIME END: 2007-02-11T18:32:00
	MINIMUM DEPTH, sediment/rock: 0.00 m * MAXIMUM DEPTH, sediment/rock: 18.74 m
Event(s):	MD07-3088 * LATITUDE: -46.071667 * LONGITUDE: -75.687167 * DATE/TIME: 2007-02-11T18:32:00 * ELEVATION: -1536.0 m * Recovery: 18.91 m * CAMPAIGN: MD159 (IMAGES XV - Pachiderme) * BASIS: Marion Dufresne (1995) (URI: https://en.wikipedia.org/wiki/Marion_Dufresne_(1994)) * METHOD/DEVICE: Calypso Corer II (CALYPSO2)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Haddam, Naoufel (naoh_000@hotmail.com)
	AGE [ka BP] (Age) * GEOCODE * PI: Haddam, Naoufel (naoh_000@hotmail.com)
	Sea surface temperature, annual mean [°C] (SST (1-12)) * PI: Haddam, Naoufel (naoh_000@hotmail.com) * METHOD/DEVICE: Calculated from UK'37 (Prahl et al., 1988) (URI: https://doi.org/10.1016/0016-7037(88)90132-9)
	Sea surface temperature, annual mean [°C] (SST (1-12)) * PI: Haddam, Naoufel (naoh_000@hotmail.com) * METHOD/DEVICE: Calculated from UK'37 (Müller et al, 1998) (URI: https://doi.org/10.1016/S0016-7037(98)00097-0)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Size:	482 data points
*/
Depth sed [m]	Age [ka BP]	SST (1-12) [°C] (Calculated from UK'37 (Prahl ...)	SST (1-12) [°C] (Calculated from UK'37 (Müller...)
0.00	0.0000	11.4	11.4
0.05	0.0500	11.9	12.1
0.10	0.1000	11.7	11.9
0.15	0.1500	11.6	11.8
0.20	0.2000	11.9	12.1
0.25	0.2500	10.4	10.5
0.30	0.3000	10.4	10.6
0.35	0.3500	11.9	12.1
0.40	0.4000	11.3	11.5
0.45	0.4500	12.0	12.3
0.50	0.5078	11.3	11.5
0.55	0.5586	11.0	11.2
0.60	0.6094	11.5	11.7
0.65	0.6602	12.4	12.6
0.70	0.7109	12.2	12.5
0.75	0.7617	12.6	12.8
0.80	0.8125	12.8	13.0
0.85	0.8633	12.7	13.0
0.90	0.9141	12.7	13.0
0.95	0.9648	12.8	13.1
1.00	1.0156	12.1	12.3
1.05	1.0664	13.6	13.8
1.10	1.1172	12.6	12.9
1.15	1.1680	12.6	12.8
1.20	1.2188	13.2	13.4
1.25	1.2695	13.5	13.8
1.30	1.3203	13.2	13.5
1.35	1.3711	12.1	12.3
1.40	1.4219	12.9	13.1
1.45	1.4727	12.3	12.5
1.50	1.5234	12.9	13.2
1.55	1.5742	12.9	13.2
1.60	1.6250	11.1	11.3
1.65	1.6940	12.5	12.7
1.70	1.7390	12.5	12.8
1.75	1.8000	12.2	12.5
1.80	1.8790	12.5	12.8
1.85	1.9700	12.8	13.1
1.90	2.0700	12.5	12.8
1.95	2.1790	12.6	12.8
2.00	2.2990	12.4	12.7
2.05	2.4230	12.4	12.6
2.10	2.5500	13.3	13.5
2.15	2.6780	13.8	14.1
2.20	2.8060	13.4	13.6
2.25	2.9360	13.8	14.1
2.30	3.0650	13.4	13.7
2.35	3.1900	12.8	13.0
2.40	3.3140	13.2	13.5
2.45	3.4330	13.4	13.6
2.50	3.5420	13.6	13.9
2.55	3.6400	13.6	13.8
2.60	3.7240	12.7	12.9
2.65	3.7950	13.2	13.5
2.70	3.8550	13.4	13.6
2.75	3.8970	13.4	13.7
2.80	3.9730	13.2	13.4
2.85	4.0620	13.6	13.8
2.90	4.1200	13.1	13.4
2.95	4.1970	12.7	13.0
3.00	4.3060	12.7	13.0
3.05	4.4310	13.2	13.4
3.10	4.5820	13.2	13.5
3.15	4.7480	13.7	14.0
3.20	4.9200	13.4	13.6
3.25	5.0940	13.1	13.4
3.30	5.2620	13.6	13.8
3.35	5.4210	13.4	13.6
3.40	5.5660	13.7	13.9
3.45	5.6710	13.8	14.0
3.50	5.7390	12.9	13.1
