/* DATA DESCRIPTION:
Citation:	Leduc, Guillaume; Schneider, Ralph R; Kim, Jung-Hyun; Lohmann, Gerrit (2010): Sea surface temperature reconstruction from sediment core MD95-2015 using alkenones [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.737251, 
	In supplement to: Leduc, G et al. (2010): Holocene and Eemian Sea surface temperature trends as revealed by alkenone and Mg/Ca paleothermometry. Quaternary Science Reviews, 29(7-8), 989-1004, https://doi.org/10.1016/j.quascirev.2010.01.004
Coverage:	LATITUDE: 58.762333 * LONGITUDE: -25.959000
	DATE/TIME START: 1995-06-13T00:00:00 * DATE/TIME END: 1995-06-13T00:00:00
	MINIMUM ELEVATION: -2630.0 m * MAXIMUM ELEVATION: -2630.0 m
Event(s):	MD95-2015 (MD952015) * LATITUDE: 58.762333 * LONGITUDE: -25.959000 * DATE/TIME: 1995-06-13T00:00:00 * ELEVATION: -2630.0 m * Recovery: 34 m * LOCATION: Reykjanes Ridge * CAMPAIGN: MD101 (IMAGES I) (URI: https://doi.org/10.17600/95200110) * BASIS: Marion Dufresne (1995) (URI: https://en.wikipedia.org/wiki/Marion_Dufresne_(1994)) * METHOD/DEVICE: Calypso Corer (CALYPSO) * COMMENT: XXIII Sections, OK
Parameter(s):	AGE [ka BP] (Age) * GEOCODE
	Sea surface temperature [°C] (SST) * PI: References, proxy alkenones (hdl:10013/epic.35232.d001) * METHOD/DEVICE: SST calculated from alkenones
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	126 data points
*/
Age [ka BP]	SST [°C]
0.693	11.2
0.768	11.2
0.843	12.0
0.928	11.2
1.015	11.4
1.102	11.6
1.189	11.8
1.276	10.9
1.363	11.6
1.450	11.4
1.537	11.7
1.624	11.2
1.711	11.7
1.852	11.0
2.000	11.8
2.147	11.0
2.294	11.5
2.441	11.3
2.588	11.5
2.736	11.0
2.883	11.2
3.030	11.0
3.177	11.4
3.274	11.3
3.365	11.3
3.457	10.9
3.548	11.5
3.639	11.4
3.730	11.5
3.822	11.7
3.913	11.5
4.004	11.4
4.095	11.4
4.187	12.1
4.278	11.6
4.369	11.2
4.460	11.5
4.552	11.2
4.643	11.6
4.734	11.7
4.826	11.6
5.027	11.8
5.128	11.8
5.229	11.5
5.330	11.6
5.431	11.5
5.533	11.3
5.634	11.5
5.723	11.2
5.810	11.7
5.898	11.3
5.985	11.9
6.073	11.9
6.161	11.7
6.248	11.3
6.336	11.4
6.423	12.7
6.511	11.8
6.598	12.2
6.686	11.8
6.773	12.8
6.861	12.3
6.948	11.6
7.036	12.1
7.124	11.8
7.211	12.5
7.299	11.7
7.386	12.3
7.474	13.0
7.561	12.5
7.649	12.4
7.736	12.8
7.824	12.7
7.912	12.5
7.999	12.2
8.086	12.1
8.173	12.3
8.260	12.1
8.347	12.3
8.434	12.5
8.521	12.1
8.608	13.0
8.781	12.7
8.955	12.5
9.042	12.9
9.129	12.0
9.161	11.9
9.186	13.0
9.211	11.9
9.236	14.8
9.261	12.4
9.286	12.8
9.336	12.0
9.361	12.3
9.386	12.2
9.412	12.5
9.466	12.5
9.496	12.2
9.526	12.7
9.556	11.9
9.586	12.1
9.616	12.6
9.646	12.1
9.676	12.4
9.706	12.4
9.736	12.6
9.767	12.6
9.797	12.1
9.827	12.7
9.857	12.3
9.887	12.5
9.917	12.6
9.947	12.0
9.977	12.4
10.007	12.6
10.037	12.2
10.072	12.2
10.108	12.5
10.145	11.9
10.181	11.9
10.217	12.4
10.253	12.4
10.289	12.3
10.325	12.2
10.433	11.9
10.469	12.9
