/* DATA DESCRIPTION:
Citation:	Anderson, Harris J; Pedro, Joel B; Bostock, Helen C; Chase, Zanna; Noble, Taryn L (2020): Recalibrated age model and sea surface temperatures from alkenone measurements of sediment core MD97-2120 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.912128, 
	In: Anderson, HJ et al. (2020): 14 Southern Ocean Sea Surface Temperature records recalibrated to MARINE20 and tied to the AICC2012 Timescale, Southern Ocean Sea Surface Temperature Anomaly Stacks [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.912146
Keyword(s):	AIM; Compilation; Marine Isotope Stage 3; MIS-3; Sea surface temperature; SST; SST Stack; Stack
Related to:	Anderson, Harris J; Pedro, Joel B; Bostock, Helen C; Chase, Zanna; Noble, Taryn L (2021): Compiled Southern Ocean sea surface temperatures correlate with Antarctic Isotope Maxima. Quaternary Science Reviews, 255, 106821, https://doi.org/10.1016/j.quascirev.2021.106821
Further details:	Jouzel, Jean; Masson-Delmotte, Valerie; Cattani, Olivier; Dreyfus, Gabrielle; Falourd, Sonia; Hoffmann, G; Minster, Bénédicte; Nouet, Julius; Barnola, Jean-Marc; Chappellaz, Jérôme A; Fischer, Hubertus; Gallet, J C; Johnsen, Sigfús Jóhann; Leuenberger, Markus Christian; Loulergue, Laetitia; Luethi, D; Oerter, Hans; Parrenin, Frédéric; Raisbeck, Grant M; Raynaud, Dominique; Schilt, Adrian; Schwander, Jakob; Selmo, Enricomaria; Souchez, Roland A; Spahni, Renato; Stauffer, Bernhard; Steffensen, Jørgen Peder; Stenni, Barbara; Stocker, Thomas F; Tison, Jean-Louis; Werner, Martin; Wolff, Eric William (2007): Orbital and millennial Antarctic climate variability over the past 800,000 years. Science, 317(5839), 793-797, https://doi.org/10.1126/science.1141038
	Pahnke, Katharina; Zahn, Rainer; Elderfield, Henry; Schulz, Michael (2003): 340,000-Year Centennial-Scale Marine Record of Southern Hemisphere. Science, 301(5635), 948-952, https://doi.org/10.1126/science.1084451
	Veres, Daniel; Bazin, Lucie; Landais, Amaëlle; Toyé Mahamadou Kele, H; Lemieux-Dudon, Bénédicte; Parrenin, Frédéric; Martinerie, Patricia; Blayo, Eric; Blunier, Thomas; Capron, Emilie; Chappellaz, Jérôme A; Rasmussen, Sune Olander; Severi, Mirko; Svensson, Anders M; Vinther, Bo Møllesøe; Wolff, Eric William (2013): The Antarctic ice core chronology (AICC2012): an optimized multi-parameter and multi-site dating approach for the last 120 thousand years. Climate of the Past, 9(4), 1733-1748, https://doi.org/10.5194/cp-9-1733-2013
Coverage:	LATITUDE: -45.534333 * LONGITUDE: 174.930833
	DATE/TIME START: 1997-05-20T11:11:00 * DATE/TIME END: 1997-05-20T11:11:00
	MINIMUM DEPTH, sediment/rock: 0.230 m * MAXIMUM DEPTH, sediment/rock: 19.290 m
Event(s):	MD97-2120 (MD972120) * LATITUDE: -45.534333 * LONGITUDE: 174.930833 * DATE/TIME: 1997-05-20T11:11:00 * ELEVATION: -1210.0 m * Recovery: 36.4 m * LOCATION: Chatham Rise * CAMPAIGN: MD106 (IMAGES III - IPHIS) (URI: http://www.ifremer.fr/sismer/UK/catal/campagne/campagnea.htql?crno=97200010) * BASIS: Marion Dufresne (1995) (URI: https://en.wikipedia.org/wiki/Marion_Dufresne_(1994)) * METHOD/DEVICE: Calypso Corer (CALYPSO)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Anderson, Harris J (https://orcid.org/0000-0001-7023-0344, harris.anderson@utas.edu.au)
	Age model [ka] (Age model) * PI: Anderson, Harris J (https://orcid.org/0000-0001-7023-0344, harris.anderson@utas.edu.au) * COMMENT: original age model
	Age model [ka] (Age model) * PI: Anderson, Harris J (https://orcid.org/0000-0001-7023-0344, harris.anderson@utas.edu.au) * METHOD/DEVICE: Antarctic ice core chronology (AICC2012) (URI: https://doi.org/10.5194/cp-9-1733-2013) * COMMENT: AICC2012-Tuned Age Model
	Standard error [±] (Std e) * PI: Anderson, Harris J (https://orcid.org/0000-0001-7023-0344, harris.anderson@utas.edu.au) * METHOD/DEVICE: Antarctic ice core chronology (AICC2012) (URI: https://doi.org/10.5194/cp-9-1733-2013) * COMMENT: AICC2012-tuned error
	Age model [ka] (Age model) * PI: Anderson, Harris J (https://orcid.org/0000-0001-7023-0344, harris.anderson@utas.edu.au) * METHOD/DEVICE: Antarctic Isotope Maxima (AIM) (URI: https://doi.org/10.5194/cp-9-1733-2013) * COMMENT: AIM-tuned age model
	Standard error [±] (Std e) * PI: Anderson, Harris J (https://orcid.org/0000-0001-7023-0344, harris.anderson@utas.edu.au) * METHOD/DEVICE: Antarctic Isotope Maxima (AIM) (URI: https://doi.org/10.5194/cp-9-1733-2013) * COMMENT: AIM-tuned error
	Sea surface temperature [°C] (SST) * PI: Anderson, Harris J (https://orcid.org/0000-0001-7023-0344, harris.anderson@utas.edu.au) * METHOD/DEVICE: SST calculated from alkenones
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Size:	3240 data points
*/
Depth sed [m]	Age model [ka] (original age model)	Age model [ka] (AICC2012-Tuned Age Model, Ant...)	Std e [±] (AICC2012-tuned error, Antarct...)	Age model [ka] (AIM-tuned age model, Antarcti...)	Std e [±] (AIM-tuned error, Antarctic Is...)	SST [°C] (SST calculated from alkenones)
0.230	1.95	1.85	0.34	1.85	0.35	13.11
0.250	2.18	2.08	0.49	2.08	0.48	13.52
0.270	2.41	2.30	0.71	2.30	0.70	13.48
0.290	2.64	2.53	0.80	2.52	0.79	13.95
0.310	2.87	2.75	0.82	2.75	0.81	13.62
0.330	3.10	2.98	0.79	2.98	0.78	13.75
0.370	3.56	3.43	0.87	3.43	0.87	13.75
0.410	3.83	3.70	0.99	3.70	0.98	13.63
0.430	3.96	3.83	1.08	3.83	1.08	13.56
0.450	4.10	3.96	1.20	3.97	1.20	13.47
0.470	4.24	4.10	1.31	4.10	1.30	13.64
0.490	4.37	4.23	1.42	4.23	1.42	13.66
0.510	4.51	4.36	1.54	4.36	1.55	13.38
0.530	4.64	4.50	1.67	4.50	1.68	13.58
0.550	4.78	4.63	1.77	4.63	1.80	13.56
0.570	4.91	4.76	1.87	4.76	1.88	13.57
0.590	5.05	4.89	1.93	4.90	1.96	13.36
0.610	5.19	5.03	1.98	5.03	2.01	13.59
0.630	5.32	5.16	2.00	5.16	2.03	13.26
0.650	5.46	5.29	2.02	5.30	2.05	13.45
0.670	5.59	5.43	2.01	5.43	2.06	13.05
0.690	5.73	5.56	2.00	5.56	2.05	13.47
0.710	5.86	5.70	1.99	5.70	2.03	13.54
0.730	6.00	5.84	1.98	5.84	1.99	13.50
0.750	6.14	5.98	1.94	5.98	1.95	13.29
0.770	6.27	6.11	1.88	6.11	1.90	13.22
0.790	6.41	6.25	1.79	6.25	1.83	13.41
0.810	6.54	6.39	1.72	6.39	1.76	13.46
0.830	6.68	6.53	1.63	6.53	1.67	13.42
0.850	6.81	6.66	1.52	6.67	1.55	13.58
0.870	6.95	6.80	1.44	6.81	1.45	13.72
0.890	7.09	6.94	1.35	6.94	1.36	13.71
0.910	7.22	7.08	1.29	7.08	1.31	13.68
0.930	7.36	7.21	1.23	7.22	1.27	13.79
0.950	7.49	7.35	1.21	7.35	1.24	13.59
0.970	7.63	7.49	1.21	7.49	1.24	13.57
0.990	7.76	7.62	1.22	7.63	1.25	13.65
1.010	7.84	7.73	1.26	7.73	1.29	13.72
1.030	7.92	7.83	1.31	7.82	1.37	14.15
1.070	8.08	8.02	1.46	8.02	1.51	14.08
1.110	8.24	8.21	1.57	8.21	1.66	14.22
1.150	8.40	8.41	1.65	8.41	1.77	14.84
1.190	8.56	8.61	1.71	8.60	1.83	15.30
1.230	8.72	8.80	1.80	8.79	1.86	15.24
1.270	8.88	9.00	1.86	8.99	1.87	15.28
1.310	9.04	9.19	1.87	9.19	1.89	15.60
1.350	9.04	9.39	1.88	9.39	1.88	15.53
1.390	9.36	9.60	1.87	9.60	1.88	15.55
1.430	9.50	9.81	1.84	9.81	1.87	15.72
1.490	9.80	10.13	1.80	10.13	1.84	15.62
1.530	9.90	10.35	1.76	10.35	1.80	15.51
1.570	10.10	10.58	1.72	10.58	1.75	15.42
1.610	10.20	10.81	1.65	10.81	1.69	15.52
1.650	10.40	11.04	1.58	11.04	1.63	15.23
1.690	10.60	11.24	1.54	11.24	1.57	15.49
1.750	10.80	11.30	1.28	11.30	1.30	15.98
1.770	10.90	11.31	1.22	11.31	1.23	16.14
1.810	11.00	11.34	1.12	11.34	1.12	15.75
1.830	11.20	11.35	1.06	11.35	1.07	15.49
1.850	11.30	11.37	1.01	11.37	1.02	15.92
1.870	11.40	11.38	0.96	11.38	0.96	16.66
1.890	11.60	11.40	0.92	11.40	0.91	16.63
1.910	11.70	11.42	0.88	11.42	0.87	16.12
1.930	11.80	11.49	0.84	11.49	0.83	15.79
1.950	12.00	11.68	0.73	11.67	0.72	15.81
1.970	12.10	11.85	0.67	11.85	0.67	15.39
1.990	12.20	12.01	0.62	12.02	0.62	15.69
2.010	12.30	12.19	0.57	12.20	0.55	15.35
2.030	12.50	12.36	0.61	12.36	0.58	14.98
2.050	12.60	12.47	0.61	12.47	0.59	14.82
2.070	12.70	12.58	0.65	12.58	0.63	14.86
2.090	12.80	12.68	0.72	12.68	0.70	14.63
2.110	12.90	12.78	0.79	12.78	0.77	14.75
2.150	13.10	12.99	0.83	12.99	0.84	13.63
2.190	13.30	13.19	0.78	13.19	0.80	13.96
2.230	13.50	13.40	0.70	13.40	0.69	13.56
2.250	13.60	13.51	0.62	13.51	0.64	14.28
2.270	13.70	13.61	0.56	13.62	0.60	13.57
2.290	13.80	13.72	0.54	13.73	0.57	13.56
2.310	13.90	13.83	0.54	13.83	0.58	13.21
2.330	14.00	13.90	0.52	13.90	0.55	13.36
2.350	14.00	13.97	0.51	13.97	0.54	13.06
2.370	14.10	14.04	0.53	14.04	0.55	13.54
2.390	14.09	14.11	0.56	14.11	0.57	13.48
2.410	14.13	14.17	0.57	14.17	0.59	13.98
2.430	14.16	14.23	0.57	14.23	0.59	12.76
2.450	14.20	14.30	0.57	14.30	0.58	12.67
2.470	14.24	14.37	0.56	14.37	0.56	12.75
2.490	14.27	14.45	0.57	14.45	0.57	12.71
2.510	14.31	14.52	0.59	14.52	0.59	12.85
2.530	14.35	14.60	0.63	14.60	0.63	13.33
2.550	14.48	14.66	0.75	14.66	0.75	12.52
2.570	14.61	14.72	1.01	14.72	1.02	12.24
2.590	14.74	14.77	1.28	14.77	1.29	12.25
2.610	14.87	14.82	1.53	14.83	1.52	12.13
2.650	15.13	14.93	2.00	14.93	2.01	11.84
