/* DATA DESCRIPTION:
Citation:	Leduc, Guillaume; Schneider, Ralph R; Kim, Jung-Hyun; Lohmann, Gerrit (2010): Sea surface temperature reconstruction from sediment core OCE326-GGC30 using alkenones [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.737259, 
	In supplement to: Leduc, G et al. (2010): Holocene and Eemian Sea surface temperature trends as revealed by alkenone and Mg/Ca paleothermometry. Quaternary Science Reviews, 29(7-8), 989-1004, https://doi.org/10.1016/j.quascirev.2010.01.004
Coverage:	LATITUDE: 43.882000 * LONGITUDE: -62.800000
	MINIMUM ELEVATION: -250.0 m * MAXIMUM ELEVATION: -250.0 m
Event(s):	OCE326-GGC30 * LATITUDE: 43.882000 * LONGITUDE: -62.800000 * ELEVATION: -250.0 m * METHOD/DEVICE: Piston corer (PC)
Parameter(s):	AGE [ka BP] (Age) * GEOCODE
	Sea surface temperature [°C] (SST) * PI: References, proxy alkenones (hdl:10013/epic.35232.d001) * METHOD/DEVICE: SST calculated from alkenones
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	147 data points
*/
Age [ka BP]	SST [°C]
0.0000	8.0
0.0000	8.1
0.0000	8.2
0.0000	8.4
0.0000	8.6
0.0000	8.5
0.0000	8.7
0.0000	8.6
0.1300	8.4
0.3800	8.7
0.4400	8.8
0.5100	8.9
0.5900	8.9
0.7000	8.9
0.8000	9.1
0.9100	9.2
1.0200	9.3
1.1200	9.5
1.2300	9.6
1.3300	9.8
1.4400	9.2
1.4400	9.0
1.5500	9.7
1.6400	9.6
1.7100	9.5
1.7900	9.8
1.8700	9.8
1.9500	9.9
2.0200	10.1
2.1000	10.4
2.1800	10.2
2.2500	10.4
2.3300	10.5
2.4100	10.4
2.4800	10.5
2.5600	10.6
2.6400	10.6
2.7100	11.1
2.7900	10.8
2.8700	10.7
2.9500	10.7
3.0200	10.7
3.1000	11.0
3.1800	10.5
3.2500	10.8
3.3300	11.0
3.4100	11.3
3.4800	10.8
3.5600	10.9
3.6400	11.0
3.7100	11.0
3.7900	11.4
3.8700	11.3
3.9500	11.5
4.0200	11.6
4.1000	11.5
4.1800	11.5
4.2500	10.7
4.2500	10.6
4.3300	10.8
4.3300	10.8
4.4100	11.4
4.4800	12.2
4.5600	11.7
4.6400	11.9
4.7100	11.7
4.8700	11.5
4.9500	11.9
5.0200	12.1
5.1000	12.0
5.1800	12.3
5.2500	11.9
5.3300	11.2
5.3300	11.2
5.4100	12.3
5.4800	12.4
5.5600	13.0
5.6400	13.2
5.7100	13.2
5.7900	13.4
5.8700	12.8
5.9400	12.6
6.0200	13.8
6.1000	13.7
6.1800	13.5
6.2500	11.8
6.2500	11.7
6.3300	13.5
6.4100	12.6
6.4100	12.8
6.4800	13.5
6.5600	13.6
6.6400	13.7
6.7100	13.6
6.7900	14.1
6.8700	14.2
6.9400	14.8
7.0100	14.5
7.0800	14.2
7.1500	14.7
7.2200	14.5
7.2900	14.6
7.3600	13.0
7.4300	15.0
7.5000	15.2
7.5700	15.0
7.6400	14.8
7.7100	14.4
7.7800	14.7
7.8500	14.8
7.9200	14.7
7.9900	14.5
8.0600	14.2
8.1300	14.8
8.2000	15.2
8.2700	14.7
8.3400	14.6
8.4100	14.6
8.4800	14.5
8.5500	14.5
8.6200	14.4
8.6900	14.3
8.7600	14.1
8.8300	14.2
8.9000	14.7
8.9700	14.0
9.0400	13.0
9.1100	14.1
9.1800	14.5
9.2500	14.0
9.3200	14.1
9.3900	14.3
9.4600	14.5
9.5300	14.7
9.6000	14.4
9.6700	15.4
9.7400	15.0
9.8100	14.9
9.8800	14.7
9.9500	15.3
10.0200	15.0
10.0900	15.1
10.1600	14.8
10.2300	14.4
10.3000	15.0
10.3700	14.6
10.4400	15.1
